CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Tate Rodemaker (31249636),Tate Rodemaker,31249636,CPT,16500,FSU@UF 11/25/2023 07:00PM ET,FSU,5.97
,,,,,,,QB,Brock Glenn (31249637),Brock Glenn,31249637,CPT,15300,FSU@UF 11/25/2023 07:00PM ET,FSU,5.55
,,,,,,,QB,Max Brown (31249638),Max Brown,31249638,CPT,15000,FSU@UF 11/25/2023 07:00PM ET,UF,2.48
,,,,,,,RB,Trey Benson (31249639),Trey Benson,31249639,CPT,14700,FSU@UF 11/25/2023 07:00PM ET,FSU,17.52
,,,,,,,WR,Ricky Pearsall (31249640),Ricky Pearsall,31249640,CPT,14400,FSU@UF 11/25/2023 07:00PM ET,UF,19.23
,,,,,,,WR,Keon Coleman (31249641),Keon Coleman,31249641,CPT,13800,FSU@UF 11/25/2023 07:00PM ET,FSU,17.87
,,,,,,,QB,Jack Miller III (31249642),Jack Miller III,31249642,CPT,13500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Eugene Wilson III (31249643),Eugene Wilson III,31249643,CPT,12600,FSU@UF 11/25/2023 07:00PM ET,UF,16.72
,,,,,,,RB,Trevor Etienne (31249644),Trevor Etienne,31249644,CPT,12000,FSU@UF 11/25/2023 07:00PM ET,UF,16.33
,,,,,,,RB,Montrell Johnson Jr. (31249645),Montrell Johnson Jr.,31249645,CPT,11400,FSU@UF 11/25/2023 07:00PM ET,UF,14.6
,,,,,,,QB,Tate Rodemaker (31249556),Tate Rodemaker,31249556,UTIL,11000,FSU@UF 11/25/2023 07:00PM ET,FSU,5.97
,,,,,,,QB,Brock Glenn (31249557),Brock Glenn,31249557,UTIL,10200,FSU@UF 11/25/2023 07:00PM ET,FSU,5.55
,,,,,,,QB,Max Brown (31249558),Max Brown,31249558,UTIL,10000,FSU@UF 11/25/2023 07:00PM ET,UF,2.48
,,,,,,,RB,Trey Benson (31249559),Trey Benson,31249559,UTIL,9800,FSU@UF 11/25/2023 07:00PM ET,FSU,17.52
,,,,,,,WR,Ricky Pearsall (31249560),Ricky Pearsall,31249560,UTIL,9600,FSU@UF 11/25/2023 07:00PM ET,UF,19.23
,,,,,,,WR,Johnny Wilson (31249646),Johnny Wilson,31249646,CPT,9600,FSU@UF 11/25/2023 07:00PM ET,FSU,14.89
,,,,,,,WR,Keon Coleman (31249561),Keon Coleman,31249561,UTIL,9200,FSU@UF 11/25/2023 07:00PM ET,FSU,17.87
,,,,,,,QB,Jack Miller III (31249562),Jack Miller III,31249562,UTIL,9000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,QB,Michael Grant (31249647),Michael Grant,31249647,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,QB,AJ Duffy (31249648),AJ Duffy,31249648,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,FSU,0.5
,,,,,,,QB,Jordan Travis (31249649),Jordan Travis,31249649,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,FSU,23.31
,,,,,,,QB,Micah Leon (31249650),Micah Leon,31249650,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,UF,0.64
,,,,,,,QB,Dylan McNamara (31249651),Dylan McNamara,31249651,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,QB,Graham Mertz (31249652),Graham Mertz,31249652,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,UF,19.98
,,,,,,,QB,Parker Leise (31249653),Parker Leise,31249653,CPT,9000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Eugene Wilson III (31249563),Eugene Wilson III,31249563,UTIL,8400,FSU@UF 11/25/2023 07:00PM ET,UF,16.72
,,,,,,,WR,Jaheim Bell (31249654),Jaheim Bell,31249654,CPT,8100,FSU@UF 11/25/2023 07:00PM ET,FSU,11.19
,,,,,,,RB,Trevor Etienne (31249564),Trevor Etienne,31249564,UTIL,8000,FSU@UF 11/25/2023 07:00PM ET,UF,16.33
,,,,,,,RB,Montrell Johnson Jr. (31249565),Montrell Johnson Jr.,31249565,UTIL,7600,FSU@UF 11/25/2023 07:00PM ET,UF,14.6
,,,,,,,WR,Caleb Douglas (31249655),Caleb Douglas,31249655,CPT,7500,FSU@UF 11/25/2023 07:00PM ET,UF,7.32
,,,,,,,RB,Lawrance Toafili (31249656),Lawrance Toafili,31249656,CPT,7200,FSU@UF 11/25/2023 07:00PM ET,FSU,8.43
,,,,,,,K,Ryan Fitzgerald (31249657),Ryan Fitzgerald,31249657,CPT,6600,FSU@UF 11/25/2023 07:00PM ET,FSU,9
,,,,,,,K,Tyler Keltner (31249658),Tyler Keltner,31249658,CPT,6600,FSU@UF 11/25/2023 07:00PM ET,FSU,1
,,,,,,,K,Max Larson (31249659),Max Larson,31249659,CPT,6600,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Johnny Wilson (31249566),Johnny Wilson,31249566,UTIL,6400,FSU@UF 11/25/2023 07:00PM ET,FSU,14.89
,,,,,,,QB,Michael Grant (31249567),Michael Grant,31249567,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,QB,AJ Duffy (31249568),AJ Duffy,31249568,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,FSU,0.5
,,,,,,,QB,Jordan Travis (31249569),Jordan Travis,31249569,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,FSU,23.31
,,,,,,,QB,Micah Leon (31249570),Micah Leon,31249570,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,UF,0.64
,,,,,,,QB,Dylan McNamara (31249571),Dylan McNamara,31249571,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,QB,Graham Mertz (31249572),Graham Mertz,31249572,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,UF,19.98
,,,,,,,QB,Parker Leise (31249573),Parker Leise,31249573,UTIL,6000,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,K,Trey Smack (31249660),Trey Smack,31249660,CPT,6000,FSU@UF 11/25/2023 07:00PM ET,UF,8.1
,,,,,,,K,Adam Mihalek (31249661),Adam Mihalek,31249661,CPT,6000,FSU@UF 11/25/2023 07:00PM ET,UF,2.33
,,,,,,,WR,Jaheim Bell (31249574),Jaheim Bell,31249574,UTIL,5400,FSU@UF 11/25/2023 07:00PM ET,FSU,11.19
,,,,,,,WR,Preston Daniel (31249662),Preston Daniel,31249662,CPT,5400,FSU@UF 11/25/2023 07:00PM ET,FSU,7.4
,,,,,,,WR,Caleb Douglas (31249575),Caleb Douglas,31249575,UTIL,5000,FSU@UF 11/25/2023 07:00PM ET,UF,7.32
,,,,,,,RB,Lawrance Toafili (31249576),Lawrance Toafili,31249576,UTIL,4800,FSU@UF 11/25/2023 07:00PM ET,FSU,8.43
,,,,,,,WR,Arlis Boardingham (31249663),Arlis Boardingham,31249663,CPT,4800,FSU@UF 11/25/2023 07:00PM ET,UF,8.74
,,,,,,,WR,Ja'Khi Douglas (31249664),Ja'Khi Douglas,31249664,CPT,4500,FSU@UF 11/25/2023 07:00PM ET,FSU,12
,,,,,,,K,Ryan Fitzgerald (31249577),Ryan Fitzgerald,31249577,UTIL,4400,FSU@UF 11/25/2023 07:00PM ET,FSU,9
